file,status,before_kb,after_kb,reduction_pct,width,height,error,output_path
0.png,OK,126.7,12.5,90.1,512,512,,D:\female\11\0.webp
0.png,OK,3.3,1.1,65.2,512,512,,D:\female\9\0.webp
0_1.png,OK,117.8,24.4,79.3,512,512,,D:\female\11\0_1.webp
0_10.png,OK,189.3,32.8,82.7,512,512,,D:\female\11\0_10.webp
0_11.png,OK,118.4,11.1,90.6,512,512,,D:\female\11\0_11.webp
0_12.png,OK,203.0,38.1,81.2,512,512,,D:\female\11\0_12.webp
0_13.png,OK,101.3,11.5,88.6,512,512,,D:\female\11\0_13.webp
0_14.png,OK,127.7,14.7,88.5,512,512,,D:\female\11\0_14.webp
0_15.png,OK,144.7,20.9,85.6,512,512,,D:\female\11\0_15.webp
0_2.png,OK,108.7,9.9,90.9,512,512,,D:\female\11\0_2.webp
0_3.png,OK,106.2,14.3,86.5,512,512,,D:\female\11\0_3.webp
0_4.png,OK,113.2,30.1,73.4,512,512,,D:\female\11\0_4.webp
0_5.png,OK,119.1,14.0,88.2,512,512,,D:\female\11\0_5.webp
0_6.png,OK,116.4,13.1,88.8,512,512,,D:\female\11\0_6.webp
0_7.png,OK,124.9,12.9,89.6,512,512,,D:\female\11\0_7.webp
0_8.png,OK,119.0,22.9,80.8,512,512,,D:\female\11\0_8.webp
0_9.png,OK,114.7,13.5,88.2,512,512,,D:\female\11\0_9.webp
1.png,OK,181.4,28.7,84.2,512,512,,D:\female\11\1.webp
1.png,OK,99.6,14.7,85.3,512,512,,D:\female\9\1.webp
10.png,OK,172.6,19.0,89.0,512,512,,D:\female\11\10.webp
10.png,OK,110.3,15.7,85.7,512,512,,D:\female\9\10.webp
100.png,OK,161.2,16.9,89.5,512,512,,D:\female\11\100.webp
100.png,OK,17.3,6.9,60.4,512,512,,D:\female\9\100.webp
1000.png,OK,269.1,45.3,83.2,512,512,,D:\female\11\1000.webp
1001.png,OK,142.5,26.9,81.1,512,512,,D:\female\11\1001.webp
1001_1.png,OK,133.6,33.7,74.8,512,512,,D:\female\11\1001_1.webp
1001_2.png,OK,138.8,25.5,81.6,512,512,,D:\female\11\1001_2.webp
1001_3.png,OK,129.7,27.2,79.0,512,512,,D:\female\11\1001_3.webp
1002.png,OK,268.9,51.4,80.9,512,512,,D:\female\11\1002.webp
1003.png,OK,145.5,25.8,82.3,512,512,,D:\female\11\1003.webp
1003_1.png,OK,155.4,35.6,77.1,512,512,,D:\female\11\1003_1.webp
1003_2.png,OK,152.8,32.0,79.1,512,512,,D:\female\11\1003_2.webp
1004.png,OK,85.2,17.4,79.6,512,512,,D:\female\11\1004.webp
1004_1.png,OK,84.0,24.0,71.4,512,512,,D:\female\11\1004_1.webp
1005.png,OK,59.9,9.8,83.6,512,512,,D:\female\11\1005.webp
1006.png,OK,103.5,25.9,75.0,512,512,,D:\female\11\1006.webp
1007.png,OK,175.4,33.7,80.8,512,512,,D:\female\11\1007.webp
1007_1.png,OK,178.8,41.5,76.8,512,512,,D:\female\11\1007_1.webp
1008.png,OK,199.8,27.5,86.2,512,512,,D:\female\11\1008.webp
1008_1.png,OK,198.3,36.1,81.8,512,512,,D:\female\11\1008_1.webp
1009.png,OK,162.1,31.0,80.9,512,512,,D:\female\11\1009.webp
1009_1.png,OK,145.9,21.6,85.2,512,512,,D:\female\11\1009_1.webp
100_1.png,OK,18.1,6.8,62.2,512,512,,D:\female\9\100_1.webp
101.png,OK,46.1,12.6,72.6,512,512,,D:\female\11\101.webp
101.png,OK,2.8,1.3,55.1,512,512,,D:\female\9\101.webp
1010.png,OK,197.8,51.3,74.1,512,512,,D:\female\11\1010.webp
1010_1.png,OK,182.2,40.7,77.7,512,512,,D:\female\11\1010_1.webp
1011.png,OK,127.0,31.7,75.1,512,512,,D:\female\11\1011.webp
1011_1.png,OK,126.2,32.4,74.4,512,512,,D:\female\11\1011_1.webp
1012.png,OK,281.6,53.9,80.8,512,512,,D:\female\11\1012.webp
1012_1.png,OK,275.1,58.2,78.8,512,512,,D:\female\11\1012_1.webp
1012_2.png,OK,204.9,29.7,85.5,512,512,,D:\female\11\1012_2.webp
1012_3.png,OK,268.4,36.5,86.4,512,512,,D:\female\11\1012_3.webp
1012_4.png,OK,259.1,29.4,88.7,512,512,,D:\female\11\1012_4.webp
1012_5.png,OK,258.0,26.8,89.6,512,512,,D:\female\11\1012_5.webp
1013.png,OK,203.8,30.3,85.1,512,512,,D:\female\11\1013.webp
1013_1.png,OK,191.1,31.7,83.4,512,512,,D:\female\11\1013_1.webp
1014.png,OK,166.9,26.3,84.2,512,512,,D:\female\11\1014.webp
1014_1.png,OK,155.0,18.3,88.2,512,512,,D:\female\11\1014_1.webp
1015.png,OK,141.0,22.4,84.1,512,512,,D:\female\11\1015.webp
1015_1.png,OK,165.4,40.2,75.7,512,512,,D:\female\11\1015_1.webp
1016.png,OK,58.1,17.1,70.6,512,512,,D:\female\11\1016.webp
1017.png,OK,86.6,14.9,82.8,512,512,,D:\female\11\1017.webp
1017_1.png,OK,100.1,18.8,81.2,512,512,,D:\female\11\1017_1.webp
1017_2.png,OK,125.5,41.2,67.2,512,512,,D:\female\11\1017_2.webp
1018.png,OK,54.4,13.1,76.0,512,512,,D:\female\11\1018.webp
1018_1.png,OK,54.3,13.7,74.8,512,512,,D:\female\11\1018_1.webp
1018_2.png,OK,56.1,15.9,71.6,512,512,,D:\female\11\1018_2.webp
1019.png,OK,172.4,19.5,88.7,512,512,,D:\female\11\1019.webp
1019_1.png,OK,131.2,23.1,82.4,512,512,,D:\female\11\1019_1.webp
101_1.png,OK,48.5,12.1,75.1,512,512,,D:\female\11\101_1.webp
101_2.png,OK,43.7,9.4,78.5,512,512,,D:\female\11\101_2.webp
101_3.png,OK,43.6,9.9,77.3,512,512,,D:\female\11\101_3.webp
